,NAME,numRecords,minYear
0,1300So,10,2050
1,1700So,22,2042
2,200So_2,32,2024
3,200So_Core,6,2030
4,300W,32,2032
5,3900S,18,2040
6,400SoCore,6,2030
7,500E_2,36,2030
8,5400S,36,2030
9,7800FtUn_3,24,2040
10,9000S,2,2050
11,900E_2,36,2030
12,900So,38,2024
13,900W,2,2050
14,BRT104th_2,12,2050
15,BRT123RD_A,6,2050
16,BRT1300E_T,12,2042
17,BRT3500S,8,2019
18,BRT3533S_Core,36,2030
19,BRT47S_S,6,2030
20,BRT56_R,18,2030
21,BRT62S_T1,10,2050
22,BRTFTHLWA_N,18,2030
23,BRTFTHLWA_S39,1,2050
24,BRTNRedwd_T,16,2030
25,BRTNSDA_R,17,2032
26,BRTRdwd_South,7,2040
27,BRTRdwd_T,18,2030
28,BRTWSU_S,4,2024
29,BRTWash_R,12,2042
30,BRT_2700W_T,12,2050
31,BRT_ProOrm,50,2019
32,BRT_ProOrm_50,4,2050
33,BRT_State850,1,2042
34,BRT_StateSt,7,2030
35,BRT_VinOrm,14,2042
36,Blue,62,2019
37,Blue_Ext,2,2050
38,Brig_Ex,2,2050
39,CG_BRT_S1,15,2032
40,Cedar_Exp,10,2032
41,Clear,10,2042
42,ClearRoyWest,12,2050
43,Core_Cedar,7,2030
44,Core_CedarAF,1,2042
45,Core_CedarLehi,11,2032
46,Core_Maple,36,2030
47,Core_Nebo,15,2032
48,Core_State850,4,2032
49,D460,7,2019
50,D461,7,2019
51,D462,7,2019
52,DavisSLCCon,2,2024
53,FD605,14,2019
54,FthlDr2100,38,2024
55,Green,64,2019
56,HinckleyUnion,6,2050
57,LakePark,20,2042
58,LittleCott,18,2032
59,M805_Santaquin,26,2019
60,M806_EglMtn,14,2019
61,M807_NoCnty,14,2019
62,M809_AMPG,4,2019
63,M821_5YR2023,20,2028
64,M821_Psn,52,2019
65,M822_Psn,52,2019
66,M823_5RY2023,40,2028
67,M830X_ARPT,32,2028
68,M831_WPr,52,2019
69,M833_CntPr,26,2019
70,M834_EstPr,52,2019
71,M841_UVU,36,2019
72,M850_StateStreet,14,2019
73,M862_Orem,52,2019
74,M864_ThanksgivingPnt,24,2019
75,M871_SLtoUtahCnty,26,2019
76,MAG_LRT,8,2042
77,MF809,8,2028
78,MTTrolley,10,2050
79,MidValCon,46,2028
80,O600,13,2028
81,O601,32,2019
82,O603,56,2019
83,O604,64,2019
84,O606,39,2019
85,O607,23,2028
86,O608,14,2019
87,O609,23,2028
88,O612,44,2019
89,O613,18,2019
90,O614,46,2028
91,O615,46,2028
92,O616,4,2019
93,O625,9,2019
94,O626,64,2019
95,O627,64,2019
96,O628,64,2019
97,O630,64,2019
98,O640,64,2019
99,O645,18,2019
100,O650,14,2019
101,O667,32,2019
102,OF605,46,2028
103,OF618,64,2019
104,OF620,32,2019
105,OF638,64,2019
106,Orange,12,2042
107,P_AF,8,2030
108,P_Alpine,12,2030
109,P_EagleMtn,6,2030
110,P_Lehi1,12,2030
111,P_Lehi2,12,2030
112,P_Lehi3,12,2030
113,P_Orem,12,2030
114,P_Provo1,12,2030
115,P_Provo2,6,2030
116,P_Provo3,12,2030
117,P_Provo4,8,2030
118,P_ProvoC,12,2030
119,P_SF1,12,2030
120,P_SF2,12,2030
121,P_Santaquin,12,2030
122,P_Saratoga1,10,2030
123,P_Saratoga2,12,2030
124,P_Springville,12,2030
125,PlsntClear,26,2030
126,RCRT_OGPN,64,2019
127,RDELTA2U_R,14,2032
128,RGRANSUG_U,18,2032
129,Red,64,2019
130,S1,50,2023
131,S11,7,2019
132,S17,64,2019
133,S2,26,2019
134,S200,30,2019
135,S201,44,2019
136,S205,28,2019
137,S209,28,2019
138,S21,26,2019
139,S213,29,2019
140,S217,14,2019
141,S218,28,2019
142,S220,32,2019
143,S223,39,2019
144,S227,28,2019
145,S232,14,2019
146,S236,23,2028
147,S240,28,2019
148,S248,41,2019
149,S2X,30,2019
150,S3,7,2019
151,S307X,30,2019
152,S31,46,2028
153,S313X,30,2019
154,S320X,30,2019
155,S33,28,2019
156,S35,34,2019
157,S354X,30,2019
158,S39,46,2019
159,S4,27,2019
160,S41,8,2019
161,S45,34,2019
162,S451X,14,2019
163,S454,30,2019
164,S455,32,2019
165,S456,15,2019
166,S463,7,2019
167,S47,34,2019
168,S470,22,2019
169,S471,30,2019
170,S472X,7,2019
171,S473X,7,2019
172,S509,64,2019
173,S513,64,2019
174,S519/520,7,2019
175,S525,7,2019
176,S526,14,2019
177,S54,28,2019
178,S551,17,2019
179,S6,7,2019
180,S62,54,2019
181,S672X,23,2028
182,S673X,23,2028
183,S72,28,2019
184,S9,28,2019
185,S902,5,2019
186,SF11,50,2023
187,SF202,50,2023
188,SF232,50,2023
189,SF453,32,2019
190,SF504,8,2019
191,SF514,64,2019
192,SF518,14,2019
193,SF522,14,2019
194,SF525,50,2023
195,SF534,7,2019
196,SF546,14,2019
197,SF547,7,2019
198,SF556,20,2019
199,SF570,64,2019
200,SF578,38,2019
201,SF590,54,2019
202,SF94,28,2019
203,Santaquin_Exp,10,2032
204,ShldSego_3,10,2050
205,Sline,62,2019
206,Sline_Ext,2,2050
207,Sline_Mill,22,2032
208,SoJoSandyC,13,2030
209,StGrid_2,30,2030
210,StGrid_2_BRT,24,2032
211,StGrid_2_Core,4,2032
212,TooeleCor,1,2050
213,WDraperCon,2,2050
